ID_Encuentro (PK);ID_Campeonato (FK);Fecha_Torneo;Partido;ID_EquipoLocal (FK);ID_EquipoVisitante (FK);ID_Locacion (FK);GolesLocal;GolesVisita;Valor Mercado Local;Altura Media Local;Edad Media Local;Valor Mercado Visita;Altura Media Visita;Edad Media Visita;ID_Resultado (FK);Fecha;NombreDia;Apuesta Local;Apuesta Visita;Apuesta Empate
44;1;3;14;6;12;3;0;0; 22.93;1.79;24.42; 12.13;1.80;24.95;3;2015-03-02;lunes;1.74;5.10;3.34
45;1;3;15;21;38;16;0;0; 32.67;1.78;24.27; 28.50;1.78;22.70;3;2015-03-02;lunes;2.27;3.37;3.00
46;1;4;1;18;16;4;1;1; 13.78;1.78;27.63; 14.30;1.78;24.11;3;2015-03-06;viernes;3.43;2.27;2.96
47;1;4;2;4;27;15;1;1; 17.08;1.81;24.71; 29.08;1.78;26.14;3;2015-03-06;viernes;2.91;2.53;3.01
48;1;4;3;22;17;4;0;2; 8.15;1.80;26.14; 21.20;1.79;23.75;2;2015-03-07;sábado;2.47;3.05;2.97
49;1;4;4;23;29;2;1;3; 12.97;1.79;25.02; 18.35;1.79;25.61;2;2015-03-07;sábado;2.93;2.58;2.94
50;1;4;5;1;26;10;1;1; 8.73;1.79;28.10; 16.98;1.79;25.24;3;2015-03-07;sábado;2.20;3.49;3.03
51;1;4;6;19;8;1;1;2; 33.53;1.78;25.60; 13.98;1.82;26.42;2;2015-03-07;sábado;1.99;3.93;3.15
52;1;4;7;21;13;16;2;0; 32.67;1.78;24.27; 4.40;1.79;25.70;1;2015-03-07;sábado;1.55;6.53;3.64
53;1;4;8;38;33;4;1;1; 28.50;1.78;22.70; 8.98;1.80;26.39;3;2015-03-08;domingo;1.63;5.88;3.50
54;1;4;9;20;3;9;0;0; 30.62;1.82;25.12; 27.25;1.80;24.86;3;2015-03-08;domingo;1.69;5.45;3.38
55;1;4;10;14;6;6;1;0; 12.05;1.78;25.46; 22.93;1.79;24.42;1;2015-03-08;domingo;2.73;2.66;3.05
56;1;4;11;28;37;4;2;2; 56.25;1.77;24.21; 7.95;1.79;23.81;3;2015-03-08;domingo;1.57;6.36;3.66
57;1;4;12;31;2;18;0;0; 11.25;1.78;26.15; 12.05;1.78;24.71;3;2015-03-08;domingo;2.15;3.61;3.05
58;1;4;13;12;9;19;1;1; 12.13;1.80;24.95; 80.93;1.80;24.92;3;2015-03-08;domingo;4.48;1.88;3.19
59;1;4;14;35;36;22;1;1; 5.30;1.80;26.35; 18.50;1.81;26.07;3;2015-03-09;lunes;2.85;2.67;2.90
60;1;4;15;15;30;8;0;2; 37.65;1.80;24.90; 39.73;1.78;26.63;2;2015-03-09;lunes;2.64;2.86;2.92
61;1;5;1;13;23;12;0;0; 4.40;1.79;25.70; 12.97;1.79;25.02;3;2015-03-13;viernes;2.37;3.30;2.90
62;1;5;2;27;12;1;4;1; 29.08;1.78;26.14; 12.13;1.80;24.95;1;2015-03-13;viernes;1.96;4.15;3.15
63;1;5;3;6;31;3;3;2; 22.93;1.79;24.42; 11.25;1.78;26.15;1;2015-03-14;sábado;1.68;5.26;3.52
64;1;5;4;9;14;4;2;1; 80.93;1.80;24.92; 12.05;1.78;25.46;1;2015-03-14;sábado;1.41;8.77;4.14
65;1;5;5;37;19;19;1;1; 7.95;1.79;23.81; 33.53;1.78;25.60;3;2015-03-14;sábado;2.44;3.07;3.01
66;1;5;6;33;21;7;1;2; 8.98;1.80;26.39; 32.67;1.78;24.27;2;2015-03-14;sábado;3.39;2.31;2.95
67;1;5;7;26;38;14;2;1; 16.98;1.79;25.24; 28.50;1.78;22.70;1;2015-03-15;domingo;3.08;2.47;2.96
68;1;5;8;2;15;4;2;2; 12.05;1.78;24.71; 37.65;1.80;24.90;3;2015-03-15;domingo;2.75;2.79;2.88
69;1;5;9;30;18;4;3;1; 39.73;1.78;26.63; 13.78;1.78;27.63;1;2015-03-15;domingo;1.67;5.54;3.43
70;1;5;10;36;4;24;2;1; 18.50;1.81;26.07; 17.08;1.81;24.71;1;2015-03-15;domingo;1.98;3.97;3.20
71;1;5;11;17;20;11;1;5; 21.20;1.79;23.75; 30.62;1.82;25.12;2;2015-03-15;domingo;2.75;2.65;3.04
72;1;5;12;29;35;16;1;0; 18.35;1.79;25.61; 5.30;1.80;26.35;1;2015-03-16;lunes;1.43;8.08;4.00
73;1;5;13;8;1;5;0;1; 13.98;1.82;26.42; 8.73;1.79;28.10;2;2015-03-16;lunes;1.64;5.61;3.55
