ID_Encuentro (PK);ID_Campeonato (FK);Fecha_Torneo;Partido;ID_EquipoLocal (FK);ID_EquipoVisitante (FK);ID_Locacion (FK);GolesLocal;GolesVisita;Valor Mercado Local;Altura Media Local;Edad Media Local;Valor Mercado Visita;Altura Media Visita;Edad Media Visita;ID_Resultado (FK);Fecha;NombreDia;Apuesta Local;Apuesta Visita;Apuesta Empate
606;2;11;6;9;1;4;4;1; 96.15;1.79;24.44; 8.30;1.80;26.96;1;2016-04-16;sábado;1.62;5.58;3.77
607;2;11;7;37;36;19;1;0; 15.13;1.79;24.17; 24.30;1.81;26.12;1;2016-04-16;sábado;2.38;3.06;3.14
608;2;11;8;27;2;1;2;2; 46.95;1.80;26.56; 16.55;1.78;24.87;3;2016-04-16;sábado;1.94;3.87;3.45
609;2;11;9;30;29;4;2;1; 50.65;1.79;26.35; 46.43;1.79;25.55;1;2016-04-17;domingo;2.15;3.48;3.16
610;2;11;10;31;15;18;0;2; 12.85;1.77;26.81; 25.60;1.78;23.68;2;2016-04-17;domingo;2.99;2.48;3.04
611;2;11;11;38;19;4;0;2; 16.78;1.79;23.53; 60.70;1.78;25.23;2;2016-04-17;domingo;3.59;2.12;3.13
612;2;11;12;35;26;22;2;0; 10.72;1.78;26.88; 14.48;1.80;25.82;1;2016-04-17;domingo;2.39;3.12;3.04
613;2;11;13;23;28;2;0;1; 11.35;1.81;27.00; 105.58;1.79;25.38;2;2016-04-17;domingo;2.67;2.74;3.05
614;2;11;14;24;6;13;0;2; 8.40;1.81;27.81; 19.70;1.79;23.59;2;2016-04-17;domingo;1.78;4.61;3.44
615;2;11;15;3;8;21;3;3; 23.98;1.80;25.87; 30.13;1.80;27.33;3;2016-04-18;lunes;2.33;3.19;3.06
616;2;12;1;4;24;15;3;1; 12.68;1.81;25.29; 8.40;1.81;27.81;1;2016-04-22;viernes;2.73;2.59;3.17
617;2;12;2;38;2;4;1;0; 16.78;1.79;23.53; 16.55;1.78;24.87;1;2016-04-22;viernes;2.02;3.85;3.21
618;2;12;3;23;1;2;2;1; 11.35;1.81;27.00; 8.30;1.80;26.96;1;2016-04-22;viernes;2.07;3.73;3.15
619;2;12;4;37;12;19;1;0; 15.13;1.79;24.17; 16.13;1.79;26.20;1;2016-04-23;sábado;2.22;3.44;3.08
620;2;12;5;3;14;21;0;0; 23.98;1.80;25.87; 16.55;1.78;24.37;3;2016-04-23;sábado;3.00;2.43;3.15
621;2;12;6;30;18;4;1;0; 50.65;1.79;26.35; 25.28;1.78;27.92;1;2016-04-23;sábado;1.61;5.63;3.72
622;2;12;7;17;31;11;1;0; 19.23;1.80;24.73; 12.85;1.77;26.81;1;2016-04-23;sábado;1.81;4.42;3.44
623;2;12;8;20;6;9;2;0; 34.10;1.80;25.86; 19.70;1.79;23.59;1;2016-04-23;sábado;1.57;6.23;3.71
624;2;12;9;16;15;8;0;0; 24.70;1.79;25.78; 25.60;1.78;23.68;3;2016-04-23;sábado;2.56;2.84;3.07
625;2;12;10;21;29;16;0;0; 23.05;1.79;24.70; 46.43;1.79;25.55;3;2016-04-24;domingo;3.23;2.34;3.03
626;2;12;11;9;28;4;0;0; 96.15;1.79;24.44; 105.58;1.79;25.38;3;2016-04-24;domingo;2.00;3.88;3.22
627;2;12;12;27;19;1;0;0; 46.95;1.80;26.56; 60.70;1.78;25.23;3;2016-04-24;domingo;2.88;2.54;3.07
628;2;12;13;8;5;5;0;0; 30.13;1.80;27.33; 12.05;1.79;27.00;3;2016-04-24;domingo;2.33;3.15;3.12
629;2;12;14;36;33;24;2;0; 24.30;1.81;26.12; 8.17;1.80;26.52;1;2016-04-25;lunes;1.93;4.22;3.19
630;2;12;15;26;35;14;2;0; 14.48;1.80;25.82; 10.72;1.78;26.88;1;2016-04-25;lunes;2.26;3.42;2.99
631;2;13;1;15;21;8;0;0; 25.60;1.78;23.68; 23.05;1.79;24.70;3;2016-04-29;viernes;1.72;5.21;3.40
632;2;13;2;1;37;10;1;1; 8.30;1.80;26.96; 15.13;1.79;24.17;3;2016-04-29;viernes;2.12;3.60;3.15
633;2;13;3;12;23;19;3;1; 16.13;1.79;26.20; 11.35;1.81;27.00;1;2016-04-29;viernes;2.19;3.61;3.00
634;2;13;4;24;4;13;2;1; 8.40;1.81;27.81; 12.68;1.81;25.29;1;2016-04-29;viernes;1.75;4.76;3.51
635;2;13;5;19;30;1;0;1; 60.70;1.78;25.23; 50.65;1.79;26.35;2;2016-04-30;sábado;2.17;3.57;3.08
636;2;13;6;8;26;5;2;2; 30.13;1.80;27.33; 14.48;1.80;25.82;3;2016-04-30;sábado;1.77;4.72;3.46
637;2;13;7;28;38;4;0;0; 105.58;1.79;25.38; 16.78;1.79;23.53;3;2016-04-30;sábado;2.09;3.64;3.19
638;2;13;8;17;3;11;2;0; 19.23;1.80;24.73; 23.98;1.80;25.87;1;2016-04-30;sábado;1.74;4.93;3.47
639;2;13;9;18;27;4;0;1; 25.28;1.78;27.92; 46.95;1.80;26.56;2;2016-04-30;sábado;2.94;2.48;3.09
640;2;13;10;14;31;6;0;0; 16.55;1.78;24.37; 12.85;1.77;26.81;3;2016-04-30;sábado;1.60;5.76;3.71
641;2;13;11;2;9;4;1;0; 16.55;1.78;24.87; 96.15;1.79;24.44;1;2016-04-30;sábado;2.70;2.71;3.06
642;2;13;12;29;16;16;0;1; 46.43;1.79;25.55; 24.70;1.79;25.78;2;2016-05-02;lunes;2.47;2.91;3.14
643;2;13;13;36;20;24;0;1; 24.30;1.81;26.12; 34.10;1.80;25.86;2;2016-05-02;lunes;3.57;2.11;3.19
644;2;13;14;35;5;22;1;1; 10.72;1.78;26.88; 12.05;1.79;27.00;3;2016-05-02;lunes;2.94;2.63;2.89
645;2;13;15;6;33;3;0;0; 19.70;1.79;23.59; 8.17;1.80;26.52;3;2016-05-03;martes;2.07;3.92;3.06
646;2;14;1;37;2;19;4;0; 15.13;1.79;24.17; 16.55;1.78;24.87;1;2016-05-06;viernes;2.36;3.25;2.99
647;2;14;2;26;17;14;1;3; 14.48;1.80;25.82; 19.23;1.80;24.73;2;2016-05-06;viernes;3.27;2.26;3.14
648;2;14;3;21;14;16;0;1; 23.05;1.79;24.70; 16.55;1.78;24.37;2;2016-05-07;sábado;2.39;3.15;3.01
649;2;14;4;31;35;18;2;0; 12.85;1.77;26.81; 10.72;1.78;26.88;1;2016-05-07;sábado;2.07;3.81;3.11
650;2;14;5;38;12;4;2;0; 16.78;1.79;23.53; 16.13;1.79;26.20;1;2016-05-07;sábado;2.19;3.49;3.10
651;2;14;6;30;28;4;2;1; 50.65;1.79;26.35; 105.58;1.79;25.38;1;2016-05-07;sábado;1.89;4.40;3.23
652;2;14;7;27;15;1;0;0; 46.95;1.80;26.56; 25.60;1.78;23.68;3;2016-05-07;sábado;2.63;2.78;3.07
653;2;14;8;3;29;21;1;0; 23.98;1.80;25.87; 46.43;1.79;25.55;1;2016-05-08;domingo;2.10;3.75;3.11
654;2;14;9;20;1;9;2;0; 34.10;1.80;25.86; 8.30;1.80;26.96;1;2016-05-08;domingo;1.45;7.23;4.18
655;2;14;10;5;8;23;2;1; 12.05;1.79;27.00; 30.13;1.80;27.33;1;2016-05-08;domingo;1.78;4.80;3.40
656;2;14;11;9;18;4;0;0; 96.15;1.79;24.44; 25.28;1.78;27.92;3;2016-05-08;domingo;2.06;3.74;3.19
657;2;14;12;4;36;15;0;0; 12.68;1.81;25.29; 24.30;1.81;26.12;3;2016-05-08;domingo;2.59;2.82;3.08
658;2;14;13;16;19;8;3;3; 24.70;1.79;25.78; 60.70;1.78;25.23;3;2016-05-08;domingo;2.50;3.03;3.00
659;2;14;14;23;6;2;1;1; 11.35;1.81;27.00; 19.70;1.79;23.59;3;2016-05-09;lunes;2.36;3.24;3.01
660;2;14;15;33;24;7;1;0; 8.17;1.80;26.52; 8.40;1.81;27.81;1;2016-05-09;lunes;2.13;3.61;3.14
661;2;15;1;18;37;4;1;1; 25.28;1.78;27.92; 15.13;1.79;24.17;3;2016-05-13;viernes;1.98;3.94;3.27
662;2;15;2;14;27;6;2;1; 16.55;1.78;24.37; 46.95;1.80;26.56;1;2016-05-13;viernes;2.23;3.39;3.12
663;2;15;3;5;31;23;3;2; 12.05;1.79;27.00; 12.85;1.77;26.81;1;2016-05-13;viernes;1.44;7.68;4.12
664;2;15;4;12;30;19;0;2; 16.13;1.79;26.20; 50.65;1.79;26.35;2;2016-05-14;sábado;4.63;1.79;3.43
665;2;15;5;17;8;11;1;0; 19.23;1.80;24.73; 30.13;1.80;27.33;1;2016-05-14;sábado;1.56;6.30;3.78
666;2;15;6;28;16;4;1;0; 105.58;1.79;25.38; 24.70;1.79;25.78;1;2016-05-14;sábado;1.84;4.48;3.35
667;2;15;7;19;3;1;2;0; 60.70;1.78;25.23; 23.98;1.80;25.87;1;2016-05-14;sábado;1.67;5.50;3.50
668;2;15;8;35;21;22;2;0; 10.72;1.78;26.88; 23.05;1.79;24.70;1;2016-05-15;domingo;2.09;3.74;3.13
669;2;15;9;33;36;7;0;1; 8.17;1.80;26.52; 24.30;1.81;26.12;2;2016-05-15;domingo;2.04;3.94;3.10
670;2;15;10;2;20;4;1;1; 16.55;1.78;24.87; 34.10;1.80;25.86;3;2016-05-15;domingo;2.56;2.79;3.14
671;2;15;11;1;4;10;2;1; 8.30;1.80;26.96; 12.68;1.81;25.29;1;2016-05-15;domingo;1.74;4.84;3.52
672;2;15;12;29;26;16;1;1; 46.43;1.79;25.55; 14.48;1.80;25.82;3;2016-05-15;domingo;2.10;3.60;3.21
673;2;15;13;15;9;8;3;1; 25.60;1.78;23.68; 96.15;1.79;24.44;1;2016-05-15;domingo;1.53;6.78;3.78
674;2;15;14;24;23;13;1;0; 8.40;1.81;27.81; 11.35;1.81;27.00;1;2016-05-16;lunes;1.91;4.34;3.19
675;2;15;15;6;38;3;0;0; 19.70;1.79;23.59; 16.78;1.79;23.53;3;2016-05-16;lunes;2.25;3.24;3.17
676;2;16;1;3;28;21;2;1; 23.98;1.80;25.87; 105.58;1.79;25.38;1;2016-05-20;viernes;3.43;2.19;3.08
677;2;16;2;36;1;24;2;0; 24.30;1.81;26.12; 8.30;1.80;26.96;1;2016-05-20;viernes;1.75;4.68;3.48
678;2;16;3;4;2;15;0;2; 12.68;1.81;25.29; 16.55;1.78;24.87;2;2016-05-21;sábado;3.15;2.28;3.12
679;2;16;4;23;33;2;0;1; 11.35;1.81;27.00; 8.17;1.80;26.52;2;2016-05-21;sábado;3.07;2.55;2.82
680;2;16;5;27;35;1;2;0; 46.95;1.80;26.56; 10.72;1.78;26.88;1;2016-05-21;sábado;1.53;6.49;3.79
681;2;16;6;26;19;14;0;3; 14.48;1.80;25.82; 60.70;1.78;25.23;2;2016-05-21;sábado;3.57;2.11;3.16
682;2;16;7;38;24;4;0;0; 16.78;1.79;23.53; 8.40;1.81;27.81;3;2016-05-21;sábado;2.18;3.42;3.13
683;2;16;8;30;6;4;1;1; 50.65;1.79;26.35; 19.70;1.79;23.59;3;2016-05-22;domingo;1.37;8.78;4.34
684;2;16;9;31;17;18;2;0; 12.85;1.77;26.81; 19.23;1.80;24.73;1;2016-05-22;domingo;3.91;1.93;3.31
685;2;16;10;9;14;4;0;0; 96.15;1.79;24.44; 16.55;1.78;24.37;3;2016-05-22;domingo;2.35;3.03;3.14
686;2;16;11;21;5;16;2;1; 23.05;1.79;24.70; 12.05;1.79;27.00;1;2016-05-22;domingo;3.15;2.32;3.11
687;2;16;12;37;15;19;1;1; 15.13;1.79;24.17; 25.60;1.78;23.68;3;2016-05-22;domingo;4.10;1.95;3.19
688;2;16;13;20;18;9;1;3; 34.10;1.80;25.86; 25.28;1.78;27.92;2;2016-05-22;domingo;2.18;3.35;3.20
689;2;16;14;8;29;5;1;0; 30.13;1.80;27.33; 46.43;1.79;25.55;1;2016-05-23;lunes;2.53;2.84;3.08
690;2;16;15;16;12;8;3;0; 24.70;1.79;25.78; 16.13;1.79;26.20;1;2016-05-23;lunes;1.79;4.64;3.36
691;3;1;1;33;3;7;1;0; 17.20;1.80;25.72; 14.25;1.78;26.21;1;2016-08-26;viernes;2.33;3.26;3.01
692;3;1;2;17;18;11;1;0; 23.35;1.81;24.40; 27.58;1.79;26.33;1;2016-08-26;viernes;2.19;3.43;3.12
693;3;1;3;16;38;8;2;0; 23.88;1.79;26.21; 33.00;1.79;24.96;1;2016-08-27;sábado;1.96;4.16;3.17
694;3;1;4;29;14;16;0;0; 49.08;1.79;25.41; 25.75;1.79;24.89;3;2016-08-27;sábado;1.80;4.72;3.33
695;3;1;5;27;34;1;1;1; 66.53;1.79;25.66; 23.35;1.78;25.29;3;2016-08-27;sábado;1.64;5.72;3.56
696;3;1;6;5;4;23;1;0; 23.73;1.80;26.17; 11.85;1.80;23.74;1;2016-08-27;sábado;1.52;6.68;3.86
697;3;1;7;30;31;4;2;2; 61.58;1.78;25.82; 11.95;1.77;27.47;3;2016-08-27;sábado;1.53;6.71;3.82
698;3;1;8;36;15;24;0;3; 19.30;1.79;26.63; 49.48;1.79;25.33;2;2016-08-28;domingo;2.58;2.96;2.92
699;3;1;9;26;21;14;0;1; 9.80;1.82;25.44; 28.08;1.79;25.83;2;2016-08-28;domingo;3.26;2.31;3.06
700;3;1;10;8;19;5;0;1; 21.53;1.81;25.91; 51.55;1.79;26.09;2;2016-08-28;domingo;3.31;2.36;2.93
701;3;1;11;37;23;19;1;0; 20.53;1.80;24.76; 14.93;1.80;26.73;1;2016-08-28;domingo;2.13;3.62;3.10
702;3;1;12;28;6;4;4;1; 98.75;1.78;25.52; 20.03;1.79;25.49;1;2016-08-28;domingo;1.63;5.81;3.53
703;3;1;13;20;9;9;1;0; 42.70;1.80;26.00; 98.88;1.79;24.67;1;2016-08-28;domingo;2.49;3.00;3.00
704;3;1;14;1;12;10;0;2; 11.33;1.80;27.51; 23.90;1.79;27.09;2;2016-08-29;lunes;2.31;3.22;3.08
705;3;1;15;35;24;22;1;0; 13.35;1.79;26.30; 8.38;1.81;27.91;1;2016-08-29;lunes;2.48;3.18;2.87
706;3;2;1;24;16;13;0;1; 8.38;1.81;27.91; 23.88;1.79;26.21;2;2016-09-09;viernes;2.63;2.86;2.96
707;3;2;2;18;26;4;1;1; 27.58;1.79;26.33; 9.80;1.82;25.44;3;2016-09-09;viernes;1.75;4.75;3.50
708;3;2;3;23;20;2;0;0; 14.93;1.80;26.73; 42.70;1.80;26.00;3;2016-09-10;sábado;3.19;2.42;2.94
709;3;2;4;6;12;3;0;0; 20.03;1.79;25.49; 23.90;1.79;27.09;3;2016-09-10;sábado;3.15;2.40;2.99
710;3;2;5;31;27;18;0;2; 11.95;1.77;27.47; 66.53;1.79;25.66;2;2016-09-10;sábado;2.83;2.59;3.05
711;3;2;6;37;1;19;0;0; 20.53;1.80;24.76; 11.33;1.80;27.51;3;2016-09-10;sábado;1.99;4.06;3.15
712;3;2;7;14;30;6;0;2; 25.75;1.79;24.89; 61.58;1.78;25.82;2;2016-09-10;sábado;2.42;3.08;3.04
713;3;2;8;19;17;1;2;0; 51.55;1.79;26.09; 23.35;1.81;24.40;1;2016-09-10;sábado;1.65;5.62;3.53
714;3;2;9;21;36;16;1;0; 28.08;1.79;25.83; 19.30;1.79;26.63;1;2016-09-11;domingo;1.93;4.25;3.17
715;3;2;10;38;29;4;2;0; 33.00;1.79;24.96; 49.08;1.79;25.41;1;2016-09-11;domingo;3.32;2.29;3.05
716;3;2;11;15;33;8;1;0; 49.48;1.79;25.33; 17.20;1.80;25.72;1;2016-09-11;domingo;1.63;6.16;3.43
717;3;2;12;9;8;4;3;0; 98.88;1.79;24.67; 21.53;1.81;25.91;1;2016-09-11;domingo;1.50;7.33;3.77
718;3;2;13;34;28;5;0;1; 23.35;1.78;25.29; 98.75;1.78;25.52;2;2016-09-11;domingo;3.74;2.07;3.16
719;3;2;14;3;5;21;1;3; 14.25;1.78;26.21; 23.73;1.80;26.17;2;2016-09-12;lunes;2.38;3.26;2.94
720;3;2;15;4;35;15;1;0; 11.85;1.80;23.74; 13.35;1.79;26.30;1;2016-09-12;lunes;2.35;3.33;2.93
721;3;3;1;12;34;19;1;0; 23.90;1.79;27.09; 23.35;1.78;25.29;1;2016-09-16;viernes;2.11;3.79;3.03
722;3;3;2;20;37;9;0;1; 42.70;1.80;26.00; 20.53;1.80;24.76;2;2016-09-17;sábado;1.66;5.58;3.52
723;3;3;3;30;38;4;2;1; 61.58;1.78;25.82; 33.00;1.79;24.96;1;2016-09-17;sábado;1.72;5.08;3.45
724;3;3;4;29;24;16;2;1; 49.08;1.79;25.41; 8.38;1.81;27.91;1;2016-09-17;sábado;1.60;6.38;3.50
725;3;3;5;1;6;10;1;3; 11.33;1.80;27.51; 20.03;1.79;25.49;2;2016-09-17;sábado;2.32;3.12;3.15
726;3;3;6;26;19;14;1;1; 9.80;1.82;25.44; 51.55;1.79;26.09;3;2016-09-17;sábado;3.70;2.09;3.12
727;3;3;7;33;21;7;1;1; 17.20;1.80;25.72; 28.08;1.79;25.83;3;2016-09-17;sábado;2.93;2.63;2.90
728;3;3;8;5;15;23;0;2; 23.73;1.80;26.17; 49.48;1.79;25.33;2;2016-09-18;domingo;2.52;3.06;2.91
729;3;3;9;35;3;22;1;1; 13.35;1.79;26.30; 14.25;1.78;26.21;3;2016-09-18;domingo;2.40;3.29;2.90
730;3;3;10;17;9;11;1;1; 23.35;1.81;24.40; 98.88;1.79;24.67;3;2016-09-18;domingo;3.12;2.42;3.01
731;3;3;11;8;23;5;0;0; 21.53;1.81;25.91; 14.93;1.80;26.73;3;2016-09-18;domingo;2.41;3.20;2.94
732;3;3;12;28;31;4;1;1; 98.75;1.78;25.52; 11.95;1.77;27.47;3;2016-09-18;domingo;1.37;9.26;4.37
733;3;3;13;27;14;1;1;1; 66.53;1.79;25.66; 25.75;1.79;24.89;3;2016-09-18;domingo;1.80;4.75;3.30
734;3;3;14;36;18;24;1;1; 19.30;1.79;26.63; 27.58;1.79;26.33;3;2016-09-19;lunes;2.42;3.11;3.02
735;3;3;15;16;4;8;0;1; 23.88;1.79;26.21; 11.85;1.80;23.74;2;2016-09-19;lunes;1.62;5.92;3.56
736;3;4;1;23;17;2;3;0; 14.93;1.80;26.73; 23.35;1.81;24.40;1;2016-09-23;viernes;2.26;3.46;2.97
737;3;4;2;21;5;16;3;1; 28.08;1.79;25.83; 23.73;1.80;26.17;1;2016-09-24;sábado;2.09;3.83;3.04
738;3;4;3;4;29;15;0;0; 11.85;1.80;23.74; 49.08;1.79;25.41;3;2016-09-24;sábado;3.91;2.03;3.13
739;3;4;4;38;27;4;0;3; 33.00;1.79;24.96; 66.53;1.79;25.66;2;2016-09-24;sábado;3.16;2.39;3.01
740;3;4;5;19;36;1;1;1; 51.55;1.79;26.09; 19.30;1.79;26.63;3;2016-09-24;sábado;1.76;4.80;3.44
741;3;4;6;18;33;4;0;0; 27.58;1.79;26.33; 17.20;1.80;25.72;3;2016-09-24;sábado;2.01;4.00;3.08
742;3;4;7;15;35;8;3;0; 49.48;1.79;25.33; 13.35;1.79;26.30;1;2016-09-25;domingo;1.54;6.95;3.64
743;3;4;8;37;8;19;0;2; 20.53;1.80;24.76; 21.53;1.81;25.91;2;2016-09-25;domingo;1.84;4.68;3.21
744;3;4;9;34;6;5;0;0; 23.35;1.78;25.29; 20.03;1.79;25.49;3;2016-09-25;domingo;2.19;3.58;3.03
745;3;4;10;24;30;13;1;1; 8.38;1.81;27.91; 61.58;1.78;25.82;3;2016-09-25;domingo;2.55;2.92;3.01
746;3;4;11;20;1;9;0;0; 42.70;1.80;26.00; 11.33;1.80;27.51;3;2016-09-25;domingo;1.67;5.54;3.49
747;3;4;12;9;26;4;4;1; 98.88;1.79;24.67; 9.80;1.82;25.44;1;2016-09-25;domingo;1.40;8.48;4.29
748;3;4;13;14;28;6;3;3; 25.75;1.79;24.89; 98.75;1.78;25.52;3;2016-09-25;domingo;3.17;2.36;3.06
749;3;4;14;3;16;21;2;2; 14.25;1.78;26.21; 23.88;1.79;26.21;3;2016-09-26;lunes;2.91;2.59;2.95
750;3;4;15;31;12;18;0;0; 11.95;1.77;27.47; 23.90;1.79;27.09;3;2016-09-26;lunes;2.26;3.36;3.06
751;3;5;1;26;23;14;2;1; 9.80;1.82;25.44; 14.93;1.80;26.73;1;2016-09-30;viernes;2.74;2.86;2.84
752;3;5;2;17;37;11;2;1; 23.35;1.81;24.40; 20.53;1.80;24.76;1;2016-09-30;viernes;2.08;3.81;3.09
753;3;5;3;29;3;16;5;0; 49.08;1.79;25.41; 14.25;1.78;26.21;1;2016-10-01;sábado;1.49;7.30;3.86
754;3;5;4;1;34;10;2;1; 11.33;1.80;27.51; 23.35;1.78;25.29;1;2016-10-01;sábado;2.40;3.23;2.93
755;3;5;5;35;21;22;0;0; 13.35;1.79;26.30; 28.08;1.79;25.83;3;2016-10-01;sábado;3.08;2.49;2.94
756;3;5;6;27;24;1;2;0; 66.53;1.79;25.66; 8.38;1.81;27.91;1;2016-10-01;sábado;1.52;7.07;3.75
757;3;5;7;28;38;4;3;0; 98.75;1.78;25.52; 33.00;1.79;24.96;1;2016-10-01;sábado;1.39;8.91;4.29
758;3;5;8;30;4;4;2;1; 61.58;1.78;25.82; 11.85;1.80;23.74;1;2016-10-02;domingo;1.48;6.63;4.05
759;3;5;9;8;20;5;1;1; 21.53;1.81;25.91; 42.70;1.80;26.00;3;2016-10-02;domingo;3.01;2.61;2.86
760;3;5;10;16;15;8;0;0; 23.88;1.79;26.21; 49.48;1.79;25.33;3;2016-10-02;domingo;3.23;2.54;2.75
761;3;5;11;6;31;3;3;2; 20.03;1.79;25.49; 11.95;1.77;27.47;1;2016-10-02;domingo;1.99;4.04;3.17
762;3;5;12;12;14;19;1;0; 23.90;1.79;27.09; 25.75;1.79;24.89;1;2016-10-02;domingo;2.50;2.99;3.00
763;3;5;13;33;19;7;0;1; 17.20;1.80;25.72; 51.55;1.79;26.09;2;2016-10-02;domingo;3.93;2.15;2.89
764;3;5;14;36;9;24;1;1; 19.30;1.79;26.63; 98.88;1.79;24.67;3;2016-10-02;domingo;3.47;2.19;3.09
765;3;5;15;5;18;23;0;2; 23.73;1.80;26.17; 27.58;1.79;26.33;2;2016-10-03;lunes;2.14;3.63;3.15
766;3;6;1;14;6;6;1;0; 25.75;1.79;24.89; 20.03;1.79;25.49;1;2016-10-14;viernes;2.10;3.58;3.11
767;3;6;2;8;1;5;0;0; 21.53;1.81;25.91; 11.33;1.80;27.51;3;2016-10-14;viernes;1.91;4.47;3.11
768;3;6;3;38;12;4;2;1; 33.00;1.79;24.96; 23.90;1.79;27.09;1;2016-10-15;sábado;2.35;3.32;2.93
769;3;6;4;18;35;4;1;2; 27.58;1.79;26.33; 13.35;1.79;26.30;2;2016-10-15;sábado;1.93;4.43;3.10
770;3;6;5;4;27;15;3;2; 11.85;1.80;23.74; 66.53;1.79;25.66;1;2016-10-15;sábado;3.48;2.15;3.14
771;3;6;6;15;29;8;3;2; 49.48;1.79;25.33; 49.08;1.79;25.41;1;2016-10-15;sábado;2.43;3.19;2.89
772;3;6;7;31;34;18;1;3; 11.95;1.77;27.47; 23.35;1.78;25.29;2;2016-10-15;sábado;2.42;3.24;2.88
773;3;6;8;19;5;1;0;2; 51.55;1.79;26.09; 23.73;1.80;26.17;2;2016-10-15;sábado;1.57;6.45;3.65
774;3;6;9;20;17;9;3;0; 42.70;1.80;26.00; 23.35;1.81;24.40;1;2016-10-16;domingo;1.54;6.83;3.68
775;3;6;10;9;33;4;2;0; 98.88;1.79;24.67; 17.20;1.80;25.72;1;2016-10-16;domingo;1.39;9.04;4.26
776;3;6;11;23;36;2;1;4; 14.93;1.80;26.73; 19.30;1.79;26.63;2;2016-10-16;domingo;2.24;3.59;2.95
777;3;6;12;21;16;16;1;0; 28.08;1.79;25.83; 23.88;1.79;26.21;1;2016-10-16;domingo;2.16;3.69;3.01
778;3;6;13;3;30;21;1;3; 14.25;1.78;26.21; 61.58;1.78;25.82;2;2016-10-16;domingo;4.16;1.92;3.23
779;3;6;14;24;28;13;2;1; 8.38;1.81;27.91; 98.75;1.78;25.52;1;2016-10-16;domingo;4.74;1.78;3.36
780;3;6;15;37;26;19;1;1; 20.53;1.80;24.76; 9.80;1.82;25.44;3;2016-10-17;lunes;1.69;5.10;3.52
781;3;7;1;33;23;7;1;1; 17.20;1.80;25.72; 14.93;1.80;26.73;3;2016-10-21;viernes;2.40;3.31;2.85
782;3;7;2;34;14;5;2;0; 23.35;1.78;25.29; 25.75;1.79;24.89;1;2016-10-21;viernes;2.46;3.20;2.85
783;3;7;3;26;20;14;1;0; 9.80;1.82;25.44; 42.70;1.80;26.00;1;2016-10-22;sábado;4.55;1.87;3.16
784;3;7;4;17;8;11;2;0; 23.35;1.81;24.40; 21.53;1.81;25.91;1;2016-10-22;sábado;2.37;3.24;2.96
785;3;7;5;35;19;22;0;1; 13.35;1.79;26.30; 51.55;1.79;26.09;2;2016-10-22;sábado;4.12;2.04;2.97
786;3;7;6;12;24;19;0;1; 23.90;1.79;27.09; 8.38;1.81;27.91;2;2016-10-22;sábado;2.22;3.55;2.96
787;3;7;7;27;3;1;1;0; 66.53;1.79;25.66; 14.25;1.78;26.21;1;2016-10-22;sábado;1.48;7.22;3.87
788;3;7;8;28;4;4;1;0; 98.75;1.78;25.52; 11.85;1.80;23.74;1;2016-10-22;sábado;1.41;8.24;4.22
789;3;7;9;16;18;8;1;0; 23.88;1.79;26.21; 27.58;1.79;26.33;1;2016-10-23;domingo;2.00;4.10;3.07
790;3;7;10;6;38;3;1;0; 20.03;1.79;25.49; 33.00;1.79;24.96;1;2016-10-23;domingo;2.08;3.71;3.12
791;3;7;11;36;37;24;3;1; 19.30;1.79;26.63; 20.53;1.80;24.76;1;2016-10-23;domingo;1.70;5.20;3.49
792;3;7;12;29;21;16;0;1; 49.08;1.79;25.41; 28.08;1.79;25.83;2;2016-10-23;domingo;1.95;4.24;3.10
793;3;7;13;30;15;4;1;2; 61.58;1.78;25.82; 49.48;1.79;25.33;2;2016-10-23;domingo;2.14;3.57;3.11
794;3;7;14;5;9;23;2;2; 23.73;1.80;26.17; 98.88;1.79;24.67;3;2016-10-23;domingo;3.38;2.22;3.10
795;3;7;15;1;31;10;1;2; 11.33;1.80;27.51; 11.95;1.77;27.47;2;2016-10-24;lunes;2.08;3.78;3.11
796;3;8;1;23;5;2;2;1; 14.93;1.80;26.73; 23.73;1.80;26.17;1;2016-10-28;viernes;2.23;3.53;2.98
797;3;8;2;24;6;13;2;0; 8.38;1.81;27.91; 20.03;1.79;25.49;1;2016-10-28;viernes;2.45;3.20;2.89
798;3;8;3;38;34;4;0;2; 33.00;1.79;24.96; 23.35;1.78;25.29;2;2016-10-29;sábado;2.43;3.21;2.90
799;3;8;4;9;35;4;4;0; 98.88;1.79;24.67; 13.35;1.79;26.30;1;2016-10-29;sábado;1.40;9.30;4.11
800;3;8;5;8;26;5;0;0; 21.53;1.81;25.91; 9.80;1.82;25.44;3;2016-10-29;sábado;1.71;5.72;3.26
801;3;8;6;19;16;1;0;0; 51.55;1.79;26.09; 23.88;1.79;26.21;3;2016-10-29;sábado;1.72;5.31;3.36
802;3;8;7;18;29;4;1;1; 27.58;1.79;26.33; 49.08;1.79;25.41;3;2016-10-29;sábado;2.49;3.05;2.96
803;3;8;8;15;27;8;2;1; 49.48;1.79;25.33; 66.53;1.79;25.66;1;2016-10-29;sábado;2.19;3.60;3.01
804;3;8;9;20;36;9;1;1; 42.70;1.80;26.00; 19.30;1.79;26.63;3;2016-10-30;domingo;1.79;4.65;3.40
805;3;8;10;17;1;11;3;1; 23.35;1.81;24.40; 11.33;1.80;27.51;1;2016-10-30;domingo;2.02;3.91;3.16
